Style #,Customer,Order #,Roll #,Vendor Roll #,Qty (yds),Qty (lbs),Good Ea.,Bad Ea.,Processor,Received
9900000119/0,"CFAB - CREATIVE FABRIC SERVICE, LLC",D69636,006963602,6963602,199.0,51.4,0,0,Altus - Plant 3,8/26/2025
9900000119/0,"CFAB - CREATIVE FABRIC SERVICE, LLC",D69636,006963601,6963601,198.0,51.4,0,0,Altus - Plant 3,8/26/2025
9900000119/0,"CFAB - CREATIVE FABRIC SERVICE, LLC",D69636,006963610,6963610,198.0,51.6,0,0,Altus - Plant 3,8/26/2025
9900000119/0,"CFAB - CREATIVE FABRIC SERVICE, LLC",D69636,006963609,6963609,203.0,52.2,0,0,Altus - Plant 3,8/26/2025
9900000119/0,"CFAB - CREATIVE FABRIC SERVICE, LLC",D69636,006963608,6963608,199.0,51.8,0,0,Altus - Plant 3,8/26/2025
9900000119/0,"CFAB - CREATIVE FABRIC SERVICE, LLC",D69636,006963607,6963607,197.0,51.2,0,0,Altus - Plant 3,8/26/2025
9900000119/0,"CFAB - CREATIVE FABRIC SERVICE, LLC",D69636,006963606,6963606,196.0,51.2,0,0,Altus - Plant 3,8/26/2025
9900000119/0,"CFAB - CREATIVE FABRIC SERVICE, LLC",D69636,006963605,6963605,198.0,51.4,0,0,Altus - Plant 3,8/26/2025
9900000119/0,"CFAB - CREATIVE FABRIC SERVICE, LLC",D69636,006963604,6963604,199.0,51.8,0,0,Altus - Plant 3,8/26/2025
9900000119/0,"CFAB - CREATIVE FABRIC SERVICE, LLC",D69636,006963603,6963603,199.0,51.8,0,0,Altus - Plant 3,8/26/2025
C1B4571-1/0,CTIC - CREATIVE TICKING,D69661,006966103,6966103,42.5,65.4,0,0,Altus - Plant 3,8/28/2025
C1B4571-1/0,CTIC - CREATIVE TICKING,D69661,006966106,6966106,40.3,60.3,0,0,Altus - Plant 3,8/28/2025
C1B4571-1/0,CTIC - CREATIVE TICKING,D69662,006966213,6966213,38.5,55.2,0,0,Altus - Plant 3,8/28/2025
C1B4571-1/0,CTIC - CREATIVE TICKING,D69662,006966204,6966204,38.0,61.0,0,0,Altus - Plant 3,8/28/2025
C1B4571-1/0,CTIC - CREATIVE TICKING,D69662,006966209,6966209,37.0,55.0,0,0,Altus - Plant 3,8/28/2025
C1B4571-1/0,CTIC - CREATIVE TICKING,D69662,006966215,6966215,36.5,51.0,0,0,Altus - Plant 3,8/28/2025
C1B4571-1/0,CTIC - CREATIVE TICKING,D69662,006966218,6966218,29.4,41.0,0,0,Altus - Plant 3,8/28/2025
C1B4571-1/0,CTIC - CREATIVE TICKING,D69662,006966208,6966208,37.0,55.6,0,0,Altus - Plant 3,8/28/2025
C1B4571-1/0,CTIC - CREATIVE TICKING,D69662,006966203,6966203,38.0,60.0,0,0,Altus - Plant 3,8/28/2025
C1B4571-1/0,CTIC - CREATIVE TICKING,D69662,006966202,6966202,37.0,58.6,0,0,Altus - Plant 3,8/28/2025
C1B4571-1/0,CTIC - CREATIVE TICKING,D69661,006966112,6966112,42.8,67.8,0,0,Altus - Plant 3,8/28/2025
C1B4571-1/0,CTIC - CREATIVE TICKING,D69662,006966201,6966201,38.2,63.0,0,0,Altus - Plant 3,8/28/2025
C1B4571-1/0,CTIC - CREATIVE TICKING,D69661,006966113,6966113,33.4,56.1,0,0,Altus - Plant 3,8/28/2025
C1B4571-1/0,CTIC - CREATIVE TICKING,D69661,006966107,6966107,42.2,65.0,0,0,Altus - Plant 3,8/28/2025
C1B4571-1/0,CTIC - CREATIVE TICKING,D69661,006966111,6966111,42.6,66.7,0,0,Altus - Plant 3,8/28/2025
C1B4571-1/0,CTIC - CREATIVE TICKING,D69661,006966105,6966105,42.6,65.5,0,0,Altus - Plant 3,8/28/2025
C1B4571-1/0,CTIC - CREATIVE TICKING,D69662,006966212,6966212,37.0,53.0,0,0,Altus - Plant 3,8/28/2025
C1B4571-1/0,CTIC - CREATIVE TICKING,D69662,006966217,6966217,26.0,37.0,0,0,Altus - Plant 3,8/28/2025
C1B4571-1/0,CTIC - CREATIVE TICKING,D69661,006966108,6966108,42.7,65.6,0,0,Altus - Plant 3,8/28/2025
C1B4571-1/0,CTIC - CREATIVE TICKING,D69662,006966214,6966214,38.6,55.0,0,0,Altus - Plant 3,8/28/2025
C1B4571-1/0,CTIC - CREATIVE TICKING,D69662,006966207,6966207,38.0,56.0,0,0,Altus - Plant 3,8/28/2025
C1B4571-1/0,CTIC - CREATIVE TICKING,D69662,006966211,6966211,37.0,53.0,0,0,Altus - Plant 3,8/28/2025
C1B4571-1/0,CTIC - CREATIVE TICKING,D69662,006966216,6966216,38.0,52.0,0,0,Altus - Plant 3,8/28/2025
C1B4571-1/0,CTIC - CREATIVE TICKING,D69662,006966206,6966206,37.0,56.0,0,0,Altus - Plant 3,8/28/2025
C1B4571-1/0,CTIC - CREATIVE TICKING,D69662,006966210,6966210,36.0,52.0,0,0,Altus - Plant 3,8/28/2025
C1B4571-1/0,CTIC - CREATIVE TICKING,D69661,006966102,6966102,42.5,65.5,0,0,Altus - Plant 3,8/28/2025
C1B4571-1/0,CTIC - CREATIVE TICKING,D69662,006966205,6966205,34.0,51.0,0,0,Altus - Plant 3,8/28/2025
C1B4571-1/0,CTIC - CREATIVE TICKING,D69661,006966110,6966110,43.4,69.0,0,0,Altus - Plant 3,8/28/2025
C1B4571-1/0,CTIC - CREATIVE TICKING,D69661,006966104,6966104,42.2,65.4,0,0,Altus - Plant 3,8/28/2025
C1B4571-1/0,CTIC - CREATIVE TICKING,D69661,006966114,6966114,18.2,30.1,0,0,Altus - Plant 3,8/28/2025
C1B4571-1/0,CTIC - CREATIVE TICKING,D69661,006966109,6966109,42.3,65.3,0,0,Altus - Plant 3,8/28/2025
C1B4571-1/0,CTIC - CREATIVE TICKING,D69661,006966101,6966101,42.0,75.0,0,0,Altus - Plant 3,8/28/2025
CEE2838-1/0,CTIC - CREATIVE TICKING,D69605,006960509,6960509,7.6,19.0,3,0,Altus - Plant 3,8/28/2025
CEE2838-1/0,CTIC - CREATIVE TICKING,D69605,006960510,6960510,27.0,64.0,8,2,Altus - Plant 3,8/28/2025
CEE2838-1/0,CTIC - CREATIVE TICKING,D69623,006962306,6962306,27.0,63.0,10,0,Altus - Plant 3,8/28/2025
CEE2838-1/0,CTIC - CREATIVE TICKING,D69623,006962304,6962304,21.0,50.0,8,0,Altus - Plant 3,8/28/2025
CEE2838-1/0,CTIC - CREATIVE TICKING,D69605,006960515,6960515,27.0,64.0,8,2,Altus - Plant 3,8/28/2025
CEE2838-1/0,CTIC - CREATIVE TICKING,D69623,006962301,6962301,25.0,60.0,8,2,Altus - Plant 3,8/28/2025
CEE2838-1/0,CTIC - CREATIVE TICKING,D69645,006964520,6964520,23.0,57.0,8,1,Altus - Plant 3,8/28/2025
CEE2838-1/0,CTIC - CREATIVE TICKING,D69605,006960516,6960516,27.0,64.0,9,1,Altus - Plant 3,8/28/2025
CEE2838-1/0,CTIC - CREATIVE TICKING,D69605,006960511,6960511,27.0,64.0,10,0,Altus - Plant 3,8/28/2025
CEE2838-1/0,CTIC - CREATIVE TICKING,D69645,006964504,6964504,7.0,19.0,3,0,Altus - Plant 3,8/28/2025
CEE2838-1/0,CTIC - CREATIVE TICKING,D69623,006962302,6962302,27.0,63.0,9,1,Altus - Plant 3,8/28/2025
CEE2838-1/0,CTIC - CREATIVE TICKING,D69605,006960512,6960512,27.0,64.0,10,0,Altus - Plant 3,8/28/2025
CEE2838-1/0,CTIC - CREATIVE TICKING,D69605,006960517,6960517,7.0,20.0,3,0,Altus - Plant 3,8/28/2025
CEE2838-1/0,CTIC - CREATIVE TICKING,D69623,006962309,6962309,27.0,63.0,10,0,Altus - Plant 3,8/28/2025
CEE2838-1/0,CTIC - CREATIVE TICKING,D69623,006962305,6962305,24.0,56.0,7,2,Altus - Plant 3,8/28/2025
CEE2838-1/0,CTIC - CREATIVE TICKING,D69605,006960513,6960513,13.0,32.0,5,0,Altus - Plant 3,8/28/2025
CEE2838-1/0,CTIC - CREATIVE TICKING,D69623,006962307,6962307,27.0,63.0,10,0,Altus - Plant 3,8/28/2025
CEE2838-1/0,CTIC - CREATIVE TICKING,D69605,006960514,6960514,27.0,64.0,10,0,Altus - Plant 3,8/28/2025
CEE2838-1/0,CTIC - CREATIVE TICKING,D69623,006962303,6962303,27.0,63.0,9,1,Altus - Plant 3,8/28/2025
CEE2838-1/0,CTIC - CREATIVE TICKING,D69645,006964519,6964519,28.0,70.0,10,1,Altus - Plant 3,8/28/2025
CEE2838-1/0,CTIC - CREATIVE TICKING,D69645,006964513,6964513,28.0,70.0,9,2,Altus - Plant 3,8/28/2025
CEE2838-1/0,CTIC - CREATIVE TICKING,D69645,006964505,6964505,28.0,70.0,8,3,Altus - Plant 3,8/28/2025
CEE2838-1/0,CTIC - CREATIVE TICKING,D69645,006964510,6964510,28.0,70.0,11,0,Altus - Plant 3,8/28/2025
CEE2838-1/0,CTIC - CREATIVE TICKING,D69645,006964516,6964516,7.0,19.0,2,1,Altus - Plant 3,8/28/2025
CEE2838-1/0,CTIC - CREATIVE TICKING,D69645,006964506,6964506,28.0,70.0,7,4,Altus - Plant 3,8/28/2025
CEE2838-1/0,CTIC - CREATIVE TICKING,D69645,006964507,6964507,28.0,70.0,9,2,Altus - Plant 3,8/28/2025
CEE2838-1/0,CTIC - CREATIVE TICKING,D69645,006964518,6964518,28.0,70.0,11,0,Altus - Plant 3,8/28/2025
CEE2838-1/0,CTIC - CREATIVE TICKING,D69645,006964514,6964514,28.0,70.0,9,2,Altus - Plant 3,8/28/2025
CEE2838-1/0,CTIC - CREATIVE TICKING,D69645,006964511,6964511,28.0,70.0,8,3,Altus - Plant 3,8/28/2025
CEE2838-1/0,CTIC - CREATIVE TICKING,D69605,906960518,6960518,7.0,20.0,0,3,Altus - Plant 3,8/28/2025
CEE2838-1/0,CTIC - CREATIVE TICKING,D69645,006964509,6964509,28.0,70.0,11,0,Altus - Plant 3,8/28/2025
CEE2838-1/0,CTIC - CREATIVE TICKING,D69623,006962310,6962310,15.0,37.0,6,0,Altus - Plant 3,8/28/2025
CEE2838-1/0,CTIC - CREATIVE TICKING,D69623,006962308,6962308,21.0,50.0,8,0,Altus - Plant 3,8/28/2025
CEE2838-1/0,CTIC - CREATIVE TICKING,D69645,006964512,6964512,7.0,19.0,2,1,Altus - Plant 3,8/28/2025
CEE2838-1/0,CTIC - CREATIVE TICKING,D69645,006964515,6964515,28.0,70.0,10,1,Altus - Plant 3,8/28/2025
CEE2838-1/0,CTIC - CREATIVE TICKING,D69645,906964508,6964508,7.0,19.0,0,3,Altus - Plant 3,8/28/2025
CEE2838-1/0,CTIC - CREATIVE TICKING,D69645,006964517,6964517,13.0,32.0,4,1,Altus - Plant 3,8/28/2025
CEE2838-1/0,CTIC - CREATIVE TICKING,D69645,006964503,6964503,27.0,70.0,10,1,Altus - Plant 3,8/28/2025
CEE2838-1/0,CTIC - CREATIVE TICKING,D69645,006964502,6964502,27.0,70.0,11,0,Altus - Plant 3,8/28/2025
CEE2838-1/0,CTIC - CREATIVE TICKING,D69645,006964501,6964501,27.0,70.0,9,2,Altus - Plant 3,8/28/2025
CEE2838-1/0,CTIC - CREATIVE TICKING,D69605,006960505,6960505,2.7,6.5,1,0,Altus - Plant 3,8/28/2025
CEE2838-1/0,CTIC - CREATIVE TICKING,D69605,006960502,6960502,30.6,77.0,6,6,Altus - Plant 3,8/28/2025
CEE2838-1/0,CTIC - CREATIVE TICKING,D69573,006957302,6957302,24.0,0.0,9,1,Altus - Plant 3,8/22/2025
CEE2838-1/0,CTIC - CREATIVE TICKING,D69605,006960501,6960501,5.0,13.0,2,0,Altus - Plant 3,8/28/2025
CEE2838-1/0,CTIC - CREATIVE TICKING,D69605,006960504,6960504,28.0,68.0,7,4,Altus - Plant 3,8/28/2025
CEE2838-1/0,CTIC - CREATIVE TICKING,D69605,006960503,6960503,24.0,57.0,7,2,Altus - Plant 3,8/28/2025
CEE2838-1/0,CTIC - CREATIVE TICKING,D69605,006960506,6960506,27.0,64.0,7,3,Altus - Plant 3,8/28/2025
CEE2838-1/0,CTIC - CREATIVE TICKING,D69605,006960507,6960507,27.0,64.0,9,1,Altus - Plant 3,8/28/2025
CEE2838-1/0,CTIC - CREATIVE TICKING,D69605,006960508,6960508,27.0,64.0,8,2,Altus - Plant 3,8/28/2025
CEE2839-1/0,CTIC - CREATIVE TICKING,D69674,006967426,6967426,23.0,54.0,7,3,Altus - Plant 3,8/28/2025
CEE2839-1/0,CTIC - CREATIVE TICKING,D69631,006963104,6963104,10.0,26.0,5,0,Altus - Plant 3,8/28/2025
CEE2839-1/0,CTIC - CREATIVE TICKING,D69631,006963101,6963101,26.0,65.0,12,0,Altus - Plant 3,8/28/2025
CEE2839-1/0,CTIC - CREATIVE TICKING,D69631,006963103,6963103,26.0,65.0,10,2,Altus - Plant 3,8/28/2025
CEE2839-1/0,CTIC - CREATIVE TICKING,D69631,006963102,6963102,26.0,65.0,11,1,Altus - Plant 3,8/28/2025
CEE2839-1/0,CTIC - CREATIVE TICKING,D69631,006963105,6963105,6.0,16.0,3,0,Altus - Plant 3,8/28/2025
CEE2839-1/0,CTIC - CREATIVE TICKING,D69631,006963106,6963106,26.0,65.0,11,1,Altus - Plant 3,8/28/2025
CEE2839-1/0,CTIC - CREATIVE TICKING,D69631,006963120,6963120,26.0,65.0,10,2,Altus - Plant 3,8/28/2025
CEE2839-1/0,CTIC - CREATIVE TICKING,D69631,006963118,6963118,13.0,31.0,6,0,Altus - Plant 3,8/28/2025
CEE2839-1/0,CTIC - CREATIVE TICKING,D69631,006963115,6963115,26.0,65.0,12,0,Altus - Plant 3,8/28/2025
CEE2839-1/0,CTIC - CREATIVE TICKING,D69631,006963112,6963112,26.0,65.0,12,0,Altus - Plant 3,8/28/2025
CEE2839-1/0,CTIC - CREATIVE TICKING,D69631,006963107,6963107,26.0,65.0,12,0,Altus - Plant 3,8/28/2025
CEE2839-1/0,CTIC - CREATIVE TICKING,D69631,006963108,6963108,26.0,65.0,12,0,Altus - Plant 3,8/28/2025
CEE2839-1/0,CTIC - CREATIVE TICKING,D69631,006963113,6963113,15.0,38.0,7,0,Altus - Plant 3,8/28/2025
CEE2839-1/0,CTIC - CREATIVE TICKING,D69631,006963109,6963109,19.0,48.0,8,1,Altus - Plant 3,8/28/2025
CEE2839-1/0,CTIC - CREATIVE TICKING,D69631,006963119,6963119,26.0,65.0,11,1,Altus - Plant 3,8/28/2025
CEE2839-1/0,CTIC - CREATIVE TICKING,D69631,006963116,6963116,26.0,65.0,12,0,Altus - Plant 3,8/28/2025
CEE2839-1/0,CTIC - CREATIVE TICKING,D69631,006963121,6963121,30.0,70.0,13,0,Altus - Plant 3,8/28/2025
CEE2839-1/0,CTIC - CREATIVE TICKING,D69631,006963110,6963110,26.0,65.0,11,1,Altus - Plant 3,8/28/2025
CEE2839-1/0,CTIC - CREATIVE TICKING,D69631,006963117,6963117,17.0,43.0,8,0,Altus - Plant 3,8/28/2025
CEE2839-1/0,CTIC - CREATIVE TICKING,D69631,006963111,6963111,26.0,65.0,12,0,Altus - Plant 3,8/28/2025
CEE2839-1/0,CTIC - CREATIVE TICKING,D69631,006963114,6963114,26.0,56.0,12,0,Altus - Plant 3,8/28/2025
CEE2839-1/0,CTIC - CREATIVE TICKING,D69674,006967407,6967407,21.0,54.0,9,1,Altus - Plant 3,8/28/2025
CEE2839-1/0,CTIC - CREATIVE TICKING,D69674,006967404,6967404,17.0,43.0,8,0,Altus - Plant 3,8/28/2025
CEE2839-1/0,CTIC - CREATIVE TICKING,D69674,006967401,6967401,21.0,54.0,8,2,Altus - Plant 3,8/28/2025
CEE2839-1/0,CTIC - CREATIVE TICKING,D69674,006967406,6967406,19.0,49.0,9,0,Altus - Plant 3,8/28/2025
CEE2839-1/0,CTIC - CREATIVE TICKING,D69674,006967403,6967403,21.0,54.0,10,0,Altus - Plant 3,8/28/2025
CEE2839-1/0,CTIC - CREATIVE TICKING,D69674,006967405,6967405,10.6,27.0,5,0,Altus - Plant 3,8/28/2025
CEE2839-1/0,CTIC - CREATIVE TICKING,D69674,006967402,6967402,21.0,54.0,10,0,Altus - Plant 3,8/28/2025
CEE2839-1/0,CTIC - CREATIVE TICKING,D69674,006967408,6967408,22.0,54.0,10,0,Altus - Plant 3,8/28/2025
CEE2839-1/0,CTIC - CREATIVE TICKING,D69674,006967409,6967409,21.0,54.0,10,0,Altus - Plant 3,8/28/2025
CEE2839-1/0,CTIC - CREATIVE TICKING,D69674,006967424,6967424,22.0,54.0,10,0,Altus - Plant 3,8/28/2025
CEE2839-1/0,CTIC - CREATIVE TICKING,D69674,006967421,6967421,20.0,49.0,7,2,Altus - Plant 3,8/28/2025
CEE2839-1/0,CTIC - CREATIVE TICKING,D69674,006967415,6967415,6.8,16.0,3,0,Altus - Plant 3,8/28/2025
CEE2839-1/0,CTIC - CREATIVE TICKING,D69674,006967410,6967410,6.0,16.0,3,0,Altus - Plant 3,8/28/2025
CEE2839-1/0,CTIC - CREATIVE TICKING,D69674,006967419,6967419,22.0,54.2,10,0,Altus - Plant 3,8/28/2025
CEE2839-1/0,CTIC - CREATIVE TICKING,D69674,006967411,6967411,21.0,54.0,8,2,Altus - Plant 3,8/28/2025
CEE2839-1/0,CTIC - CREATIVE TICKING,D69674,006967416,6967416,21.0,54.0,6,4,Altus - Plant 3,8/28/2025
CEE2839-1/0,CTIC - CREATIVE TICKING,D69674,006967412,6967412,21.0,54.0,9,1,Altus - Plant 3,8/28/2025
CEE2839-1/0,CTIC - CREATIVE TICKING,D69674,006967429,6967429,22.0,54.0,8,2,Altus - Plant 3,8/28/2025
CEE2839-1/0,CTIC - CREATIVE TICKING,D69674,006967422,6967422,21.0,52.0,5,5,Altus - Plant 3,8/28/2025
CEE2839-1/0,CTIC - CREATIVE TICKING,D69674,006967417,6967417,21.0,52.0,8,2,Altus - Plant 3,8/28/2025
CEE2839-1/0,CTIC - CREATIVE TICKING,D69674,006967413,6967413,21.0,54.0,10,0,Altus - Plant 3,8/28/2025
CEE2839-1/0,CTIC - CREATIVE TICKING,D69674,006967425,6967425,6.7,16.0,3,0,Altus - Plant 3,8/28/2025
CEE2839-1/0,CTIC - CREATIVE TICKING,D69674,006967420,6967420,9.5,21.0,4,21,Altus - Plant 3,8/28/2025
CEE2839-1/0,CTIC - CREATIVE TICKING,D69674,006967414,6967414,21.0,54.0,10,0,Altus - Plant 3,8/28/2025
CEE2839-1/0,CTIC - CREATIVE TICKING,D69674,006967423,6967423,22.0,54.0,9,1,Altus - Plant 3,8/28/2025
CEE2839-1/0,CTIC - CREATIVE TICKING,D69674,006967418,6967418,21.0,54.0,10,0,Altus - Plant 3,8/28/2025
CEE2839-1/0,CTIC - CREATIVE TICKING,D69674,006967428,6967428,22.0,54.0,7,3,Altus - Plant 3,8/28/2025
CEE2839-1/0,CTIC - CREATIVE TICKING,D69674,006967427,6967427,22.0,54.0,9,1,Altus - Plant 3,8/28/2025
CEE2840-1/0,CTIC - CREATIVE TICKING,D69646,006964609,6964609,24.0,60.0,12,0,Altus - Plant 3,8/28/2025
CEE2840-1/0,CTIC - CREATIVE TICKING,D69646,006964614,6964614,24.0,60.0,12,0,Altus - Plant 3,8/28/2025
CEE2840-1/0,CTIC - CREATIVE TICKING,D69646,006964602,6964602,24.0,60.0,12,0,Altus - Plant 3,8/28/2025
CEE2840-1/0,CTIC - CREATIVE TICKING,D69646,006964610,6964610,24.0,60.0,12,0,Altus - Plant 3,8/28/2025
CEE2840-1/0,CTIC - CREATIVE TICKING,D69646,006964601,6964601,20.0,49.0,8,2,Altus - Plant 3,8/28/2025
CEE2840-1/0,CTIC - CREATIVE TICKING,D69646,006964606,6964606,24.0,60.0,12,0,Altus - Plant 3,8/28/2025
CEE2840-1/0,CTIC - CREATIVE TICKING,D69646,006964615,6964615,24.0,60.0,12,0,Altus - Plant 3,8/28/2025
CEE2840-1/0,CTIC - CREATIVE TICKING,D69646,006964611,6964611,24.0,60.0,12,0,Altus - Plant 3,8/28/2025
CEE2840-1/0,CTIC - CREATIVE TICKING,D69646,006964605,6964605,24.0,60.0,12,0,Altus - Plant 3,8/28/2025
CEE2840-1/0,CTIC - CREATIVE TICKING,D69646,006964603,6964603,24.0,60.0,12,0,Altus - Plant 3,8/28/2025
CEE2840-1/0,CTIC - CREATIVE TICKING,D69646,006964612,6964612,24.0,60.0,9,3,Altus - Plant 3,8/28/2025
CEE2840-1/0,CTIC - CREATIVE TICKING,D69646,006964607,6964607,24.0,60.0,12,0,Altus - Plant 3,8/28/2025
CEE2840-1/0,CTIC - CREATIVE TICKING,D69646,006964613,6964613,24.0,60.0,11,1,Altus - Plant 3,8/28/2025
CEE2840-1/0,CTIC - CREATIVE TICKING,D69646,006964616,6964616,22.0,54.0,11,0,Altus - Plant 3,8/28/2025
CEE2840-1/0,CTIC - CREATIVE TICKING,D69646,006964608,6964608,22.0,54.0,11,0,Altus - Plant 3,8/28/2025
CEE2840-1/0,CTIC - CREATIVE TICKING,D69646,006964604,6964604,26.0,64.0,13,0,Altus - Plant 3,8/28/2025
CT2155-1/0,"CFAB - CREATIVE FABRIC SERVICE, LLC",D69551,006955112,6955112,164.0,52.4,0,0,Altus - Plant 3,8/28/2025
CT2155-1/0,"CFAB - CREATIVE FABRIC SERVICE, LLC",D69569,006956904,6956904,215.0,68.2,0,0,Altus - Plant 3,8/28/2025
CT2155-1/0,"CFAB - CREATIVE FABRIC SERVICE, LLC",D69569,006956907,6956907,164.0,52.4,0,0,Altus - Plant 3,8/28/2025
CT2155-1/0,"CFAB - CREATIVE FABRIC SERVICE, LLC",D69551,006955101,6955101,161.0,51.0,0,0,Altus - Plant 3,8/28/2025
CT2155-1/0,"CFAB - CREATIVE FABRIC SERVICE, LLC",D69551,006955103,6955103,163.0,52.4,0,0,Altus - Plant 3,8/28/2025
CT2155-1/0,"CFAB - CREATIVE FABRIC SERVICE, LLC",D69639,006963907,6963907,172.0,54.0,0,0,Altus - Plant 3,8/28/2025
CT2155-1/0,"CFAB - CREATIVE FABRIC SERVICE, LLC",D69640,006964003,6964003,151.0,48.0,0,0,Altus - Plant 3,8/28/2025
CT2155-1/0,"CFAB - CREATIVE FABRIC SERVICE, LLC",D69640,006964001,6964001,167.0,53.2,0,0,Altus - Plant 3,8/28/2025
CT2155-1/0,"CFAB - CREATIVE FABRIC SERVICE, LLC",D69639,006963901,6963901,172.0,54.0,0,0,Altus - Plant 3,8/28/2025
CT2155-1/0,"CFAB - CREATIVE FABRIC SERVICE, LLC",D69639,006963903,6963903,173.0,53.6,0,0,Altus - Plant 3,8/28/2025
CT2155-1/0,"CFAB - CREATIVE FABRIC SERVICE, LLC",D69639,006963905,6963905,173.0,54.2,0,0,Altus - Plant 3,8/28/2025
CT2155-1/0,"CFAB - CREATIVE FABRIC SERVICE, LLC",D69639,006963906,6963906,150.0,47.4,0,0,Altus - Plant 3,8/28/2025
CT2155-1/0,"CFAB - CREATIVE FABRIC SERVICE, LLC",D69640,006964002,6964002,166.0,52.6,0,0,Altus - Plant 3,8/28/2025
CT2155-1/0,"CFAB - CREATIVE FABRIC SERVICE, LLC",D69639,006963902,6963902,173.0,53.6,0,0,Altus - Plant 3,8/28/2025
CT2155-1/0,"CFAB - CREATIVE FABRIC SERVICE, LLC",D69639,006963904,6963904,171.0,53.4,0,0,Altus - Plant 3,8/28/2025
CT2155-1/0,"CFAB - CREATIVE FABRIC SERVICE, LLC",D69569,006956909,6956909,164.0,52.4,0,0,Altus - Plant 3,8/28/2025
CT2155-1/0,"CFAB - CREATIVE FABRIC SERVICE, LLC",D69569,006956903,6956903,156.0,49.4,0,0,Altus - Plant 3,8/28/2025
CT2155-1/0,"CFAB - CREATIVE FABRIC SERVICE, LLC",D69569,006956911,6956911,164.0,52.4,0,0,Altus - Plant 3,8/28/2025
CT2155-1/0,"CFAB - CREATIVE FABRIC SERVICE, LLC",D69551,006955109,6955109,164.0,52.4,0,0,Altus - Plant 3,8/28/2025
CT2155-1/0,"CFAB - CREATIVE FABRIC SERVICE, LLC",D69569,006956906,6956906,163.0,51.8,0,0,Altus - Plant 3,8/28/2025
CT2155-1/0,"CFAB - CREATIVE FABRIC SERVICE, LLC",D69569,006956910,6956910,164.0,52.4,0,0,Altus - Plant 3,8/28/2025
CT2155-1/0,"CFAB - CREATIVE FABRIC SERVICE, LLC",D69569,006956908,6956908,164.0,52.4,0,0,Altus - Plant 3,8/28/2025
CT2155-1/0,"CFAB - CREATIVE FABRIC SERVICE, LLC",D69551,006955108,6955108,163.0,51.8,0,0,Altus - Plant 3,8/28/2025
CT2155-1/0,"CFAB - CREATIVE FABRIC SERVICE, LLC",D69569,006956902,6956902,117.0,37.2,0,0,Altus - Plant 3,8/28/2025
CT2155-1/0,"CFAB - CREATIVE FABRIC SERVICE, LLC",D69551,006955107,6955107,164.0,52.4,0,0,Altus - Plant 3,8/28/2025
CT2155-1/0,"CFAB - CREATIVE FABRIC SERVICE, LLC",D69569,006956905,6956905,167.0,53.2,0,0,Altus - Plant 3,8/28/2025
CT2155-1/0,"CFAB - CREATIVE FABRIC SERVICE, LLC",D69569,006956901,6956901,162.0,51.8,0,0,Altus - Plant 3,8/28/2025
CT2155-1/0,"CFAB - CREATIVE FABRIC SERVICE, LLC",D69551,006955106,6955106,157.0,50.2,0,0,Altus - Plant 3,8/28/2025
CT2155-1/0,"CFAB - CREATIVE FABRIC SERVICE, LLC",D69551,006955111,6955111,164.0,52.4,0,0,Altus - Plant 3,8/28/2025
CT2155-1/0,"CFAB - CREATIVE FABRIC SERVICE, LLC",D69551,006955105,6955105,164.0,52.4,0,0,Altus - Plant 3,8/28/2025
CT2155-1/0,"CFAB - CREATIVE FABRIC SERVICE, LLC",D69551,006955104,6955104,164.0,52.4,0,0,Altus - Plant 3,8/28/2025
CT2155-1/0,"CFAB - CREATIVE FABRIC SERVICE, LLC",D69551,006955102,6955102,162.0,52.0,0,0,Altus - Plant 3,8/28/2025
CT2155-1/0,"CFAB - CREATIVE FABRIC SERVICE, LLC",D69551,006955110,6955110,163.0,52.2,0,0,Altus - Plant 3,8/28/2025
