PO Date,PO #,Purchased From,Desc,Price,INVEN,PO Order Amt,Rec'd,PO Bal,Unscheduled or Past Due,This Week,9/12/2025,9/19/2025,9/26/2025,10/3/2025,10/10/2025,10/17/2025,10/24/2025,10/31/2025,Later,Type,Ply,Size,Filament,Color,Blend
2024-03-04 14:40:38,Y2403001,Deca Global,18737,2.41,3829.9288239999996,22000,14825.7,7174.299999999999,7174.3,,,,,,,,,,,Polyester,1,150,48.0,Cashmere,100%
2024-03-04 14:43:36,Y2403002,Deca Global,18927,1.5,1064.5852400000003,51000,49993.6,1006.4000000000015,1006.4,,,,,,,,,,,Polyester,2,300,72.0,Semi Dull,100%
2024-03-05 10:46:48,Y2403004,CS America,18904,2.55,3542.8193039999996,20000,13551.0,6449.0,-3151.0,2400.0,,,,2400.0,,,,2400.0,2400.0,Polyester,1,150,36.0,China Grey,100%
2024-03-11 11:39:09,Y2403018,SpunLab Performance Yarns,18659,4.9,21012.68,54000,45826.0,8174.0,8174.0,,,,,,,,,,,Polyester/Modal Rayon/Karded Cotton,40,1,,Natural,50/37/13
2024-09-11 16:05:57,Y2409017,Deca Global,18893,2.1,1861.4808628,12000,2535.2,9464.8,9464.8,,,,,,,,,,,Polyester,1,150,48.0,Connect Blue,100%
2024-09-11 16:10:11,Y2409019,Deca Global,18927,1.5,1064.5852400000003,25000,0.0,25000.0,25000.0,,,,,,,,,,,Polyester,2,300,72.0,Semi Dull,100%
2024-10-11 09:22:38,Y2410014,Deca Global,18785,8.12,1200.246872,5000,3348.0,1652.0,1652.0,,,,,,,,,,,Polyethylene,1,300,120.0,Dark Grey,100%
2024-10-22 08:51:29,Y2410046,Deca Global,18594,5.15,10888.450948199996,46500,26376.0,20124.0,8624.0,5000.0,,6500.0,,,,,,,,Polyethylene,1,300,120.0,Natural,100%
2024-10-24 14:24:42,Y2410055,Deca Global,18993,1.75,3368.308036,40000,5460.8,34539.2,34539.2,,,,,,,,,,,Polyester,1,75,36.0,Black,100%
2024-11-05 16:27:18,Y2411010,Deca Global,18998,1.58,5824.8,13300,5782.6,7517.4,7517.4,,,,,,,,,,,Polyester,24,1,,Black 5%,95/5
2024-11-13 17:37:26,Y2411036,OMara Textiles,18184,3.6,1176.483212,3000,1981.0,1019.0,1019.0,,,,,,,,,,,Polyester,1,150,36.0,Capri,100%
2024-11-20 10:41:19,Y2411049,Deca Global,19009,1.95,0.0,8000,0.0,8000.0,8000.0,,,,,,,,,,,Combed Cotton/Polyester,20,1,,Natural,60/40
2024-11-21 07:41:34,Y2411053,OMara Textiles,18988,3.55,6339.0,6000,3493.0,2507.0,2507.0,,,,,,,,,,,Polyester,1,150,36.0,Raspberry,100%
2024-12-10 15:59:19,Y2412017,Parkdale Yarn Mills,18432,4.81,16183.1,24570,16449.0,8121.0,8121.0,,,,,,,,,,,Modacrylic/Karded Cotton,8,1,,Natural,55/45
2024-12-17 09:22:14,Y2412025,OMara Textiles,11967,3.7,674.0,4000,3115.0,885.0,885.0,,,,,,,,,,,Polyester,1,150,34.0,Merrimack,100%
2024-12-20 14:08:48,Y2412032,Deca Global,19025,2.17,0.0,7000,0.0,7000.0,7000.0,,,,,,,,,,,Polyester,1,150,36.0,Orange,100%
2024-12-20 14:14:03,Y2412034,Deca Global,18927,1.5,1064.5852400000003,15000,0.0,15000.0,15000.0,,,,,,,,,,,Polyester,2,300,72.0,Semi Dull,100%
2024-12-26 09:24:18,Y2412035,Inman Mills,18991,3.45,2382.2,4256,1988.0,2268.0,2268.0,,,,,,,,,,,FRL-PZ Rayon,14,1,,Natural,100%
2025-01-15 16:23:45,Y2501025,Deca Global,18703,2.18,107.0,40000,21120.1,18879.9,18879.9,,,,,,,,,,,Combed Cotton/Polyester,38,1,,Semi Dull,60/40
2025-01-31 11:43:45,Y2501090,BUHLER,18884,7.35,2506.1839999999984,30000,9838.7,20161.3,20161.3,,,,,,,,,,,Modacrylic/Tencel/Nylon,21,1,,Natural,75/15/10
2025-02-03 13:32:53,Y2502001,Deca Global,18785,8.05,1200.246872,7500,0.0,7500.0,7500.0,,,,,,,,,,,Polyethylene,1,300,120.0,Dark Grey,100%
2025-02-11 07:44:49,Y2502026,Deca Global,19033,6.15,1115.0672104,3000,1080.0,1920.0,1920.0,,,,,,,,,,,Polyethylene,1,300,120.0,Black,100%
2025-02-26 16:27:23,Y2502047,DUNAWAY YARNS INC,19046,1.7,6768.627027999999,42835,31195.3,11639.7,5819.7,,,5820.0,,,,,,,,Polyester,24,1,,Black 4%,96/4
2025-04-02 10:11:10,Y2504005,BUHLER,19057,9.65,15493.677999999998,25000,16368.0,8632.0,8632.0,,,,,,,,,,,Modacrylic/Rayon,28,1,,Natural,78/22
2025-04-02 16:23:22,Y2504006,Unifi,18903,1.95,15896.8399824,30000,19334.9,10665.099999999999,-2334.9,3000.0,5500.0,4500.0,,,,,,,,Polyester,1,70,72.0,Natural,100%
2025-04-03 14:33:26,Y2504009,BUHLER,19054,8.75,2421.1383240000005,10000,7473.6,2526.3999999999996,2526.4,,,,,,,,,,,Modacrylic/Tencel,30,1,,Natural,85/15
2025-04-03 15:17:39,Y2504010,Parkdale Yarn Mills,19059,2.97,18006.4,20000,17629.0,2371.0,2371.0,,,,,,,,,,,Rayon,14,1,,Natural,100%
2025-04-09 09:13:54,Y2504020,BUHLER,18645,7.23,1761.6036759999997,14000,6828.9,7171.1,7171.1,,,,,,,,,,,Modacrylic/Tencel,24,1,,Natural,85/15
2025-04-10 15:18:25,Y2504024,Deca Global,18414,1.18,6661.572596399999,40000,5576.0,34424.0,34424.0,,,,,,,,,,,Polyester,3,300,72.0,Natural,100%
2025-04-10 15:19:52,Y2504025,Deca Global,18987,1.18,4724.292547999999,40000,0.0,40000.0,40000.0,,,,,,,,,,,Polyester,4,300,72.0,Semi Dull,100%
2025-04-24 13:06:58,Y2504038,Unifi,18708,2.37,558.1908000000001,6300,1435.7,4864.3,4864.3,,,,,,,,,,,Polyester,1,150,34.0,Natural,100%
2025-04-24 13:13:13,Y2504039,"Premiere Fibers, Inc",18707,3.65,4419.1205807999995,11000,4657.0,6343.0,6343.0,,,,,,,,,,,Nylon,1,140,34.0,Semi Dull,100%
2025-04-28 15:11:52,Y2504043,Unifi,12526,1.15,12677.967820999998,30000,28058.6,1941.4000000000015,1941.4,,,,,,,,,,,Polyester,1,300,68.0,Natural,100%
2025-04-30 06:56:38,Y2504053,Deca Global,18413,1.2,236.0,42000,0.0,42000.0,42000.0,,,,,,,,,,,Polyester,1,300,72.0,Natural,100%
2025-05-09 10:17:27,Y2505007,Marionette,19067,0.88,0.0,44000,0.0,44000.0,0.0,,,,,,,,44000.0,,,Polyester,1,150,48.0,Bright,100%
2025-05-22 07:49:26,Y2505030,DRAKE EXTRUSION INC,19071,4.95,0.0,168,0.0,168.0,168.0,,,,,,,,,,,Polypropylene,1,70,36.0,Black,100%
2025-05-27 15:28:43,Y2505037,Unifi,18903,1.95,15896.8399824,5000,0.0,5000.0,0.0,,,,,,,,,,5000.0,Polyester,1,70,72.0,Natural,100%
2025-06-12 08:19:59,Y2506016,Deca Global,18594,5.15,10888.450948199996,39000,0.0,39000.0,0.0,,,4875.0,,4875.0,,4875.0,,4875.0,19500.0,Polyethylene,1,300,120.0,Natural,100%
2025-06-18 09:35:19,Y2506019,OMara Textiles,12047,3.33,1561.7267580000002,3000,1422.0,1578.0,1578.0,,,,,,,,,,,Polyester,1,150,36.0,Silver,100%L44
2025-06-25 16:54:51,Y2506025,Unifi,9863,4.19,4894.558563999999,16000,4210.1,11789.9,7789.9,4000.0,,,,,,,,,,Polyester,1,2150,464.0,BLK/DOL,100%
2025-07-03 15:14:38,Y2507001,MOVEINA,19081,32.67,0.0,700,0.0,700.0,700.0,,,,,,,,,,,Kevlar,27,1,,Black,100%
2025-07-03 15:16:07,Y2507002,MOVEINA,19082,32.67,0.0,700,0.0,700.0,700.0,,,,,,,,,,,Kevlar,27,1,,Black,100%
2025-07-08 14:28:02,Y2507008,BUHLER,19087,7.9,0.0,270,0.0,270.0,0.0,,,270.0,,,,,,,,Protex F/Tencel G100/Nylon,21,1,,Natural,75/15/10
2025-07-09 07:58:56,Y2507009,BUHLER,18870,11.39,-162.20934079999995,14000,0.0,14000.0,13000.0,,,,,1000.0,,,,,,PPS/Glass,10,2,,Natural,80/20
2025-07-10 13:14:15,Y2507011,"Meridian Specialty Yarn Group, Inc.",18712,3.36,1164.78784,10000,0.0,10000.0,2000.0,2000.0,,2000.0,,2000.0,,2000.0,,,,Polyester,1,150,36.0,ST LUCIA,100%
2025-07-10 13:31:08,Y2507012,OMara Textiles,18954,2.95,2163.8882619999995,8000,1928.0,6072.0,72.0,2000.0,,2000.0,,2000.0,,,,,,Polyester,1,150,34.0,Fosse Ink,100%
2025-07-10 13:49:41,Y2507013,DUNAWAY YARNS INC,19046,1.7,6768.627027999999,40000,0.0,40000.0,0.0,,,,,,5000.0,,5000.0,,30000.0,Polyester,24,1,,Black 4%,96/4
2025-07-11 06:23:10,Y2507014,Parkdale Yarn Mills,19004,3.56,4138.649418,20000,5133.0,14867.0,-133.0,5000.0,5000.0,5000.0,,,,,,,,Polyester,24,1,,Black 4%,96/4
2025-07-12 05:44:53,Y2507016,Dillon Yarns,18929,3.24,793.1945122,3200,0.0,3200.0,0.0,,800.0,,,800.0,,,800.0,,800.0,Lycra,1,40,,Bright,100%
2025-07-16 09:17:02,Y2507022,COMTRADE,19076,2.4,3206.196,9450,6300.0,3150.0,0.0,,,,3150.0,,,,,,,Combed Cotton,24,1,,Natural,100%
2025-07-16 11:08:13,Y2507023,Deca Global,18763,1.18,20983.38631660001,25000,23183.0,1817.0,-183.0,2000.0,,,,,,,,,,Polyester,2,300,68.0,Semi Dull,100%
2025-07-21 11:38:50,Y2507029,FILSPEC Yarns,19089,10.3,0.0,6000,0.0,6000.0,0.0,,2500.0,2500.0,1000.0,,,,,,,Modacrylic/Rayon/Nylon,26,1,,Natural,75/15/10
2025-07-21 12:53:40,Y2507030,CS America,18845,1.2,6796.094,16000,7279.0,8721.0,2321.0,1600.0,1600.0,1600.0,1600.0,,,,,,,Polyester,1,75,72.0,Natural,100%
2025-07-22 11:33:37,Y2507032,"B & W Fiber Glass, Inc.",18696,2.05,2293.2653407999996,16000,0.0,16000.0,0.0,,,,,,1600.0,,,1600.0,12800.0,Glass,1,198,,Natural,100%
2025-07-22 16:03:58,Y2507035,Parkdale Yarn Mills,18019,1.24,5252.061538800001,20400,13119.0,7281.0,481.0,6800.0,,,,,,,,,,Karded Cotton,18,1,,Natural,100%
2025-07-25 15:34:43,Y2507038,"William Barnet & Son, LLC",18646,1.06,13874.950381999999,10000,0.0,10000.0,10000.0,,,,,,,,,,,Polyester,1,150,48.0,Natural,100%
2025-07-28 16:32:26,Y2507042,"William Barnet & Son, LLC",19091,1.22,0.0,40000,0.0,40000.0,32000.0,8000.0,,,,,,,,,,Polyester,2,300,68.0,Natural,100%
2025-07-28 16:45:59,Y2507043,DeSales Trading Co,18859,1.04,0.0,40600,0.0,40600.0,0.0,,,,5800.0,5800.0,5800.0,5800.0,5800.0,5800.0,5800.0,Polyester,1,70,36.0,Semi Dull,100%
2025-07-29 10:48:34,Y2507046,Parkdale Yarn Mills,18910,3.58,2329.4040480000003,5000,0.0,5000.0,0.0,1000.0,,,1000.0,,,1000.0,,,2000.0,Polyester,30,1,,Black 1%,99/1
2025-07-29 14:37:26,Y2507047,OMara Textiles,18961,2.45,2052.8027092,3000,0.0,3000.0,3000.0,,,,,,,,,,,Polyester,1,150,34.0,Dawn Grey,100%
2025-07-31 16:25:26,Y2507052,FILSPEC Yarns,19089,10.3,0.0,3000,0.0,3000.0,0.0,,3000.0,,,,,,,,,Modacrylic/Rayon/Nylon,26,1,,Natural,75/15/10
2025-08-01 08:07:58,Y2508001,"Meridian Specialty Yarn Group, Inc.",18293,3.19,933.66628,840,0.0,840.0,840.0,,,,,,,,,,,Polyester,1,150,36.0,MAR ROYAL,100%
2025-08-04 08:41:09,Y2508002,BUHLER,18884,7.9,2506.1839999999984,16000,0.0,16000.0,0.0,,,,,,,,4000.0,4000.0,8000.0,Modacrylic/Tencel/Nylon,21,1,,Natural,75/15/10
2025-08-06 15:01:55,Y2508006,Unifi,10027,2.6,2255.1633680000014,5000,0.0,5000.0,0.0,2500.0,2500.0,,,,,,,,,Polyester,2,150,34.0,SOLDY BLK,100%
2025-08-06 15:03:43,Y2508007,Unifi,18290,5.31,5360.870242000001,5000,2368.8,2631.2,-2368.8,2500.0,2500.0,,,,,,,,,Polyester,1,150,34.0,Dawn Grey,100%
2025-08-07 09:15:10,Y2508008,Unifi,18865,0.65,4884.9181344,16649,0.0,16649.0,0.0,,16649.0,,,,,,,,,Polyester,1,70,34.0,Natural,100%
2025-08-08 11:33:01,Y2508009,COMTRADE,19076,2.5,3206.196,4850,0.0,4850.0,0.0,,,,,4850.0,,,,,,Combed Cotton,24,1,,Natural,100%
2025-08-11 16:28:55,Y2508011,Deca Global,18375,1.4,2400.0,6500,2400.0,4100.0,4100.0,,,,,,,,,,,Polyester,20,1,,Natural,100%
2025-08-13 11:36:11,Y2508012,Unifi,11896,4.19,9838.601072,12000,0.0,12000.0,0.0,,,4000.0,4000.0,4000.0,,,,,,Polyester,1,750,192.0,BLK SATUR,100%
2025-08-13 13:48:34,Y2508013,CS America,18771,1.87,1591.4352320000016,3500,0.0,3500.0,3500.0,,,,,,,,,,,Polyester,1,150,96.0,Semi Dull,100%
2025-08-14 14:24:57,Y2508014,"Meridian Specialty Yarn Group, Inc.",18307,3.45,1269.0156544,1155,1092.0,63.0,-1092.0,,1155.0,,,,,,,,,Polyester,1,150,36.0,IRIS,100%
2025-08-14 14:30:29,Y2508015,Betareks A. S.,18966,9.5,168.0,250,0.0,250.0,250.0,,,,,,,,,,,Lurex,1,69,,Silver,100%
2025-08-21 13:38:54,Y2508021,CS America,18771,1.87,1591.4352320000016,8500,0.0,8500.0,8500.0,,,,,,,,,,,Polyester,1,150,96.0,Semi Dull,100%
2025-08-21 14:29:01,Y2508023,Deca Global,18376,1.42,6751.315915199999,6000,2407.4,3592.6,3592.6,,,,,,,,,,,Polyester,30,1,,Natural,100%
2025-08-26 21:23:30,Y2508027,Unifi,12526,1.15,12677.967820999998,20000,0.0,20000.0,0.0,,20000.0,,,,,,,,,Polyester,1,300,68.0,Natural,100%
2025-08-28 10:06:53,Y2508028,Hyosung Holdings USA Inc,18469,2.32,4309.00029,600,0.0,600.0,0.0,600.0,,,,,,,,,,Polyester,1,50,1.0,Semi Dull,100%
2025-08-28 12:15:42,Y2508029,Deca Global,18763,1.18,20983.38631660001,30000,0.0,30000.0,0.0,15000.0,10000.0,5000.0,,,,,,,,Polyester,2,300,68.0,Semi Dull,100%
2025-08-28 13:18:49,Y2508030,"Fils Promptex Yarns, Inc",18233,1.33,5751.791872399999,3000,0.0,3000.0,3000.0,,,,,,,,,,,Polyester,1,150,48.0,BRT,100%
2025-08-28 16:25:08,Y2508031,Deca Global,18894,2.15,4854.8334012000005,3000,0.0,3000.0,0.0,3000.0,,,,,,,,,,Polyester,1,150,48.0,Torso Blue,100%
