Status,SO #,CSR,Unit Price,Quoted Date,fStyle#,Style#,On Hold,UOM,Ordered,Picked/Shipped,Balance,Available,SOP,PO #,Sold To,Ship To,Ship Date
Picked,S2508225,Brittany Lee,$3.90 (yds),08-19-25,CT22150-1,CT22150-1/0,"<div id='holdButton_25614' style='text-align: center;'><i class='fa fa-toggle-off' style='font-weight: normal; color: #ccc;' onClick='setReleased(25614,0)'></i></div>",yds,400,401,-1,"1,783.60",SP2508102/2,2035382,JEFFCO FIBRES INC,Precision Textiles,
Picked,S2507438,Brittany Lee,$3.90 (yds),07-29-25,CT22150-1,CT22150-1/0,"<div id='holdButton_25300' style='text-align: center;'><i class='fa fa-toggle-off' style='font-weight: normal; color: #ccc;' onClick='setReleased(25300,0)'></i></div>",yds,"1,600","1,689",-89,"1,783.60",SP2507204/3,2035256,JEFFCO FIBRES INC,Precision Textiles,
Picked,S2508226,Brittany Lee,$6.75 (yds),08-19-25,CT4183-LBL,CT4183-LBL/4259,"<div id='holdButton_25615' style='text-align: center;'><i class='fa fa-toggle-off' style='font-weight: normal; color: #ccc;' onClick='setReleased(25615,0)'></i></div>",yds,429,428.6,0.4,10,SP2508102/1,2035382,JEFFCO FIBRES INC,Precision Textiles,
Picked,S2507436,Brittany Lee,$6.75 (yds),07-29-25,CT4183-LAQ,CT4183-LAQ/4648,"<div id='holdButton_25298' style='text-align: center;'><i class='fa fa-toggle-off' style='font-weight: normal; color: #ccc;' onClick='setReleased(25298,0)'></i></div>",yds,800,301,499,0,SP2507204/2,2035256,JEFFCO FIBRES INC,Precision Textiles,
Picked,S2508227,Brittany Lee,$4.75 (yds),08-15-25,CT3085-1FI,CT3085-1FI/0,"<div id='holdButton_25616' style='text-align: center;'><i class='fa fa-toggle-off' style='font-weight: normal; color: #ccc;' onClick='setReleased(25616,0)'></i></div>",yds,300,323,-23,"1,446.50",SP2508103/1,124209,Dynasty Consolidated DBA Sleeptronic,Sleeptronic,
Picked,S2506094,Brittany Lee,$7.79 (yds),06-20-25,C1B4356-1,C1B4356-1/0,"<div id='holdButton_24310' style='text-align: center;'><i class='fa fa-toggle-off' style='font-weight: normal; color: #ccc;' onClick='setReleased(24310,0)'></i></div>",yds,"2,126","1,869",257,0,SP2506046/1,18636,Reliefmart/Ultrabed,Specialty Mattress Inc,
Picked,S2508217,Brittany Lee,$9.83 (yds),08-15-25,CSP4479-1,CSP4479-1/0,"<div id='holdButton_25606' style='text-align: center;'><i class='fa fa-toggle-off' style='font-weight: normal; color: #ccc;' onClick='setReleased(25606,0)'></i></div>",yds,700,700.8,-0.8,"2,097",SP2508098/1,PO-63182,Precision Textiles,Precision Textiles,
Picked,S2508216,Brittany Lee,$5.69 (yds),08-15-25,80004073,C1B4571-1/0,"<div id='holdButton_25605' style='text-align: center;'><i class='fa fa-toggle-off' style='font-weight: normal; color: #ccc;' onClick='setReleased(25605,0)'></i></div>",yds,410,417.1,-7.1,"17,449.60",SP2508097/1,L8538-005,Serta Simmons Bedding Company,SSBMF - TORONTO,
Open,S2508203,Brittany Lee,$4.35 (yds),09-05-25,C1B4139-1,C1B4139-1/0,"<div id='holdButton_25591' style='text-align: center;'><i class='fa fa-toggle-off' style='font-weight: normal; color: #ccc;' onClick='setReleased(25591,0)'></i></div>",yds,500,0,500,29.5,SP2508091/1,B242-051,Lady Americana / Factory Direct,Lady Americana / Factory Direct,
Open,S2508253,Brittany Lee,$3.66 (yds),08-18-25,50000173,C1B3799-2/0,"<div id='holdButton_25642' style='text-align: center;'><i class='fa fa-toggle-off' style='font-weight: normal; color: #ccc;' onClick='setReleased(25642,0)'></i></div>",yds,40,0,40,"3,731.90",SP2508114/1,L8309-079,Serta Simmons Bedding Company,SSBMF - MONROE,
Open,S2508249,Brittany Lee,$3.66 (yds),08-18-25,50000173,C1B3799-2/0,"<div id='holdButton_25638' style='text-align: center;'><i class='fa fa-toggle-off' style='font-weight: normal; color: #ccc;' onClick='setReleased(25638,0)'></i></div>",yds,40,0,40,"3,731.90",SP2508113/1,L8308-192,Serta Simmons Bedding Company,SSBMF - Wisconsin,
Open,S2508244,Brittany Lee,$3.58 (yds),08-18-25,50000173,C1B3799-2/0,"<div id='holdButton_25633' style='text-align: center;'><i class='fa fa-toggle-off' style='font-weight: normal; color: #ccc;' onClick='setReleased(25633,0)'></i></div>",yds,100,0,100,"3,731.90",SP2508112/1,50545,Serta Restokraft Mattress Co Inc,Serta Restokraft Mattress Co Inc,
Open,S2506093,Brittany Lee,$10.50 (yds),06-20-25,CT1577-GS1,CT1577-GS1/0,"<div id='holdButton_24309' style='text-align: center;'><i class='fa fa-toggle-off' style='font-weight: normal; color: #ccc;' onClick='setReleased(24309,0)'></i></div>",yds,"1,000",0,"1,000",0,SP2506046/2,18636,Reliefmart/Ultrabed,Specialty Mattress Inc,
Open,S2508255,Brittany Lee,$13.85 (yds),08-19-25,C1B3225-1,C1B3225-1/42INCH,"<div id='holdButton_25644' style='text-align: center;'><i class='fa fa-toggle-off' style='font-weight: normal; color: #ccc;' onClick='setReleased(25644,0)'></i></div>",yds,300,0,300,"2,621.60",SP2508115/2,49006,Southerland Inc,Southerland Inc - OK,
Open,S2508237,Brittany Lee,$13.85 (yds),08-19-25,C1B3225-1,C1B3225-1/42INCH,"<div id='holdButton_25626' style='text-align: center;'><i class='fa fa-toggle-off' style='font-weight: normal; color: #ccc;' onClick='setReleased(25626,0)'></i></div>",yds,90,0,90,"2,621.60",SP2508108/3,48975,Southerland Inc,"Southerland Inc - Antioch, TN",
Open,S2507119,Brittany Lee,$13.25 (yds),08-01-25,CEE3267-3,CEE3267-3/0,"<div id='holdButton_24981' style='text-align: center;'><i class='fa fa-toggle-off' style='font-weight: normal; color: #ccc;' onClick='setReleased(24981,0)'></i></div>",yds,500,0,500,0,SP2507057/1,1,Dream Time Bedding,Dream Time Bedding,
Open,S2508238,Brittany Lee,$15.76 (yds),08-19-25,C1B3472-1,C1B3472-1/0,"<div id='holdButton_25627' style='text-align: center;'><i class='fa fa-toggle-off' style='font-weight: normal; color: #ccc;' onClick='setReleased(25627,0)'></i></div>",yds,120,0,120,611.7,SP2508108/1,48975,Southerland Inc,"Southerland Inc - Antioch, TN",
Open,S2508095,Brittany Lee,$2.00 (yds),10-31-25,CF5092-0,CF5092-0/0,"<div id='holdButton_25483' style='text-align: center;'><i class='fa fa-toggle-off' style='font-weight: normal; color: #ccc;' onClick='setReleased(25483,0)'></i></div>",yds,"30,000",0,"30,000",0,SP2508047/1,1703,MATTRESS SAFE INC,Mattress Safe - Dawsonville,
Open,S2508239,Brittany Lee,$14.97 (yds),08-19-25,C1B3402-1,C1B3402-1/0,"<div id='holdButton_25628' style='text-align: center;'><i class='fa fa-toggle-off' style='font-weight: normal; color: #ccc;' onClick='setReleased(25628,0)'></i></div>",yds,44,0,44,344.1,SP2508108/2,48975,Southerland Inc,"Southerland Inc - Antioch, TN",
Open,S2508174,Brittany Lee,$21.75 (each),08-13-25,CEE2748-1,CEE2748-1/0,"<div id='holdButton_25562' style='text-align: center;'><i class='fa fa-toggle-off' style='font-weight: normal; color: #ccc;' onClick='setReleased(25562,0)'></i></div>",panels,111,0,111,244,SP2508080/1,Purple,Hemingway Sewing Solutions ,Hemingway Sewing Solutions ,
Open,S2508256,Brittany Lee,$1.33 (yds),08-19-25,CT2155-1,CT2155-1/0,"<div id='holdButton_25645' style='text-align: center;'><i class='fa fa-toggle-off' style='font-weight: normal; color: #ccc;' onClick='setReleased(25645,0)'></i></div>",yds,750,0,750,"31,874",SP2508115/1,49006,Southerland Inc,Southerland Inc - OK,
Open,S2508257,Brittany Lee,$13.50 (yds),08-19-25,C1B3912-1FS,C1B3912-1FS/42INCH,"<div id='holdButton_25646' style='text-align: center;'><i class='fa fa-toggle-off' style='font-weight: normal; color: #ccc;' onClick='setReleased(25646,0)'></i></div>",yds,250,0,250,548.1,SP2508115/3,49006,Southerland Inc,Southerland Inc - OK,
Open,S2508246,Brittany Lee,$4.07 (yds),08-18-25,50000174,C1B4038-1/0,"<div id='holdButton_25635' style='text-align: center;'><i class='fa fa-toggle-off' style='font-weight: normal; color: #ccc;' onClick='setReleased(25635,0)'></i></div>",yds,40,0,40,"1,875.70",SP2508113/2,L8308-192,Serta Simmons Bedding Company,SSBMF - Wisconsin,
Open,S2508245,Brittany Lee,$3.99 (yds),08-18-25,50000174,C1B4038-1/0,"<div id='holdButton_25634' style='text-align: center;'><i class='fa fa-toggle-off' style='font-weight: normal; color: #ccc;' onClick='setReleased(25634,0)'></i></div>",yds,100,0,100,"1,875.70",SP2508112/2,50545,Serta Restokraft Mattress Co Inc,Serta Restokraft Mattress Co Inc,
Open,S2507437,Brittany Lee,$6.75 (yds),07-29-25,CT4183-BLR,CT4183-BLR/4648,"<div id='holdButton_25299' style='text-align: center;'><i class='fa fa-toggle-off' style='font-weight: normal; color: #ccc;' onClick='setReleased(25299,0)'></i></div>",yds,800,0,800,0,SP2507204/1,2035256,JEFFCO FIBRES INC,Precision Textiles,
Open,S2507264,Brittany Lee,$12.50 (yds),08-08-25,CEE4293-1,CEE4293-1/0,"<div id='holdButton_25126' style='text-align: center;'><i class='fa fa-toggle-off' style='font-weight: normal; color: #ccc;' onClick='setReleased(25126,0)'></i></div>",yds,100,0,100,0,SP2507118/1,45160,BROOKLYN BEDDING,BROOKLYN BEDDING,
Open,S2507360,Brittany Lee,$12.50 (yds),08-08-25,CEE4293-1,CEE4293-1/0,"<div id='holdButton_25222' style='text-align: center;'><i class='fa fa-toggle-off' style='font-weight: normal; color: #ccc;' onClick='setReleased(25222,0)'></i></div>",yds,200,0,200,0,SP2507172/1,45988,BROOKLYN BEDDING,BROOKLYN BEDDING,
Open,S2508181,Brittany Lee,$12.50 (yds),08-13-25,CEE4293-1,CEE4293-1/0,"<div id='holdButton_25569' style='text-align: center;'><i class='fa fa-toggle-off' style='font-weight: normal; color: #ccc;' onClick='setReleased(25569,0)'></i></div>",yds,100,0,100,0,SP2508081/5,48751,BROOKLYN BEDDING,BROOKLYN BEDDING,
Open,S2508254,Brittany Lee,$13.50 (yds),08-19-25,C1B4338-1,C1B4338-1/0,"<div id='holdButton_25643' style='text-align: center;'><i class='fa fa-toggle-off' style='font-weight: normal; color: #ccc;' onClick='setReleased(25643,0)'></i></div>",yds,250,0,250,345.6,SP2508115/4,49006,Southerland Inc,Southerland Inc - OK,
Open,S2508222,Brittany Lee,$5.48 (yds),08-15-25,50000183,C1B4125-1/0,"<div id='holdButton_25611' style='text-align: center;'><i class='fa fa-toggle-on' style='font-size: 135%; font-weight: bold; color: orange;' onClick='setReleased(25611,1)'></i></div>",yds,30,0,30,250.1,SP2508100/2,L8462-075,Serta Simmons Bedding Company,SSBMF - HAZLETON,
Open,S2508081,Brittany Lee,$5.48 (yds),08-07-25,50000183,C1B4125-1/0,"<div id='holdButton_25469' style='text-align: center;'><i class='fa fa-toggle-on' style='font-size: 135%; font-weight: bold; color: orange;' onClick='setReleased(25469,1)'></i></div>",yds,30,0,30,250.1,SP2508038/1,L8462-072,Serta Simmons Bedding Company,SSBMF - HAZLETON,
Open,S2507439,Brittany Lee,$5.48 (yds),07-29-25,50000183,C1B4125-1/0,"<div id='holdButton_25301' style='text-align: center;'><i class='fa fa-toggle-on' style='font-size: 135%; font-weight: bold; color: orange;' onClick='setReleased(25301,1)'></i></div>",yds,80,0,80,250.1,SP2507205/2,L8269-057,Serta Simmons Bedding Company,SSBMF - SEATTLE,
Open,S2508112,Brittany Lee,$5.48 (yds),08-11-25,50000183,C1B4125-1/0,"<div id='holdButton_25500' style='text-align: center;'><i class='fa fa-toggle-on' style='font-size: 135%; font-weight: bold; color: orange;' onClick='setReleased(25500,1)'></i></div>",yds,30,0,30,250.1,SP2508054/2,L8462-073,Serta Simmons Bedding Company,SSBMF - HAZLETON,
Open,S2507408,Brittany Lee,$5.48 (yds),07-25-25,50000183,C1B4125-1/0,"<div id='holdButton_25270' style='text-align: center;'><i class='fa fa-toggle-on' style='font-size: 135%; font-weight: bold; color: orange;' onClick='setReleased(25270,1)'></i></div>",yds,55,0,55,250.1,SP2507190/4,L8309-075,Serta Simmons Bedding Company,SSBMF - MONROE,
Open,S2507389,Brittany Lee,$5.48 (yds),07-24-25,50000183,C1B4125-1/0,"<div id='holdButton_25251' style='text-align: center;'><i class='fa fa-toggle-on' style='font-size: 135%; font-weight: bold; color: orange;' onClick='setReleased(25251,1)'></i></div>",yds,60,0,60,250.1,SP2507182/2,L8462-069,Serta Simmons Bedding Company,SSBMF - HAZLETON,
Open,S2508110,Brittany Lee,$5.48 (yds),08-11-25,50000183,C1B4125-1/0,"<div id='holdButton_25498' style='text-align: center;'><i class='fa fa-toggle-on' style='font-size: 135%; font-weight: bold; color: orange;' onClick='setReleased(25498,1)'></i></div>",yds,80,0,80,250.1,SP2508053/1,L8348-079,Serta Simmons Bedding Company,SSBMF - Cullman,
Open,S2508198,Brittany Lee,$5.48 (yds),08-14-25,50000183,C1B4125-1/0,"<div id='holdButton_25586' style='text-align: center;'><i class='fa fa-toggle-on' style='font-size: 135%; font-weight: bold; color: orange;' onClick='setReleased(25586,1)'></i></div>",yds,40,0,40,250.1,SP2508088/3,L8263-048,Serta Simmons Bedding Company,SSBMF - PHOENIX,
Open,S2508194,Brittany Lee,$5.48 (yds),08-14-25,50000183,C1B4125-1/0,"<div id='holdButton_25582' style='text-align: center;'><i class='fa fa-toggle-on' style='font-size: 135%; font-weight: bold; color: orange;' onClick='setReleased(25582,1)'></i></div>",yds,120,0,120,250.1,SP2508087/1,L8349-061,Serta Simmons Bedding Company,SSBMF - GREENE COUNTY,
Open,S2508013,Brittany Lee,$5.48 (yds),08-04-25,50000183,C1B4125-1/0,"<div id='holdButton_25401' style='text-align: center;'><i class='fa fa-toggle-on' style='font-size: 135%; font-weight: bold; color: orange;' onClick='setReleased(25401,1)'></i></div>",yds,40,0,40,250.1,SP2508005/1,L8314-060,Serta Simmons Bedding Company,SSBMF - JAMESTOWN,
Open,S2507303,Brittany Lee,$9.95 (yds),07-31-25,C1B4440-1,C1B4440-1/42INCH,"<div id='holdButton_25165' style='text-align: center;'><i class='fa fa-toggle-off' style='font-weight: normal; color: #ccc;' onClick='setReleased(25165,0)'></i></div>",yds,500,0,500,30.2,SP2507142/2,123925,Dynasty Consolidated DBA Sleeptronic,Sleeptronic,
Open,S2508023,Brittany Lee,$11.50 (yds),08-29-25,DIANA,C1B4374-1/42INCH,"<div id='holdButton_25411' style='text-align: center;'><i class='fa fa-toggle-off' style='font-weight: normal; color: #ccc;' onClick='setReleased(25411,0)'></i></div>",yds,500,0,500,0,SP2508011/1,P682-004,Solstice Sleep Products Inc,Solstice Sleep Products TX,
Open,S2508021,Brittany Lee,$11.50 (yds),08-29-25,DIANA,C1B4374-1/42INCH,"<div id='holdButton_25409' style='text-align: center;'><i class='fa fa-toggle-off' style='font-weight: normal; color: #ccc;' onClick='setReleased(25409,0)'></i></div>",yds,500,0,500,0,SP2508009/1,P680-004,Solstice Sleep Products Inc,Solstice Sleep Products OH,
Open,S2508022,Brittany Lee,$11.50 (yds),08-29-25,DIANA,C1B4374-1/42INCH,"<div id='holdButton_25410' style='text-align: center;'><i class='fa fa-toggle-off' style='font-weight: normal; color: #ccc;' onClick='setReleased(25410,0)'></i></div>",yds,500,0,500,0,SP2508010/1,P683-003,Solstice Sleep Products Inc,Solstice Sleep Products SC,
Open,S2507338,Brittany Lee,$10.06 (yds),08-08-25,CT2552-1,CT2552-1/0,"<div id='holdButton_25200' style='text-align: center;'><i class='fa fa-toggle-off' style='font-weight: normal; color: #ccc;' onClick='setReleased(25200,0)'></i></div>",yds,"1,200",0,"1,200",0,SP2507160/1,18692,Reliefmart/Ultrabed,Specialty Mattress Inc,
Open,S2508247,Brittany Lee,$5.69 (yds),08-18-25,70005413,C1B4571-1/0,"<div id='holdButton_25636' style='text-align: center;'><i class='fa fa-toggle-off' style='font-weight: normal; color: #ccc;' onClick='setReleased(25636,0)'></i></div>",yds,80,0,80,"17,449.60",SP2508113/3,L8308-192,Serta Simmons Bedding Company,SSBMF - Wisconsin,
Open,S2508252,Brittany Lee,$3.50 (yds),08-18-25,700094133,C1B4612-1/1,"<div id='holdButton_25641' style='text-align: center;'><i class='fa fa-toggle-off' style='font-weight: normal; color: #ccc;' onClick='setReleased(25641,0)'></i></div>",yds,60,0,60,"1,891.20",SP2508114/2,L8309-079,Serta Simmons Bedding Company,SSBMF - MONROE,
Open,S2508248,Brittany Lee,$3.50 (yds),08-18-25,700094133,C1B4612-1/1,"<div id='holdButton_25637' style='text-align: center;'><i class='fa fa-toggle-off' style='font-weight: normal; color: #ccc;' onClick='setReleased(25637,0)'></i></div>",yds,60,0,60,"1,891.20",SP2508113/4,L8308-192,Serta Simmons Bedding Company,SSBMF - Wisconsin,
Open,S2508251,Brittany Lee,$3.85 (yds),08-18-25,700094134,C1B4613-1/0,"<div id='holdButton_25640' style='text-align: center;'><i class='fa fa-toggle-off' style='font-weight: normal; color: #ccc;' onClick='setReleased(25640,0)'></i></div>",yds,60,0,60,"2,373.80",SP2508114/3,L8309-079,Serta Simmons Bedding Company,SSBMF - MONROE,
Open,S2508250,Brittany Lee,$3.85 (yds),08-18-25,700094134,C1B4613-1/0,"<div id='holdButton_25639' style='text-align: center;'><i class='fa fa-toggle-off' style='font-weight: normal; color: #ccc;' onClick='setReleased(25639,0)'></i></div>",yds,60,0,60,"2,373.80",SP2508113/5,L8308-192,Serta Simmons Bedding Company,SSBMF - Wisconsin,
Open,S2507422,Brittany Lee,$7.45 (yds),08-29-25,C1B4686-1,C1B4686-1/0,"<div id='holdButton_25284' style='text-align: center;'><i class='fa fa-toggle-off' style='font-weight: normal; color: #ccc;' onClick='setReleased(25284,0)'></i></div>",yds,"1,000",0,"1,000",0,SP2507196/1,46789,Custom Comfort Mattress,Custom Comfort Mattress,